line_name,irsad_weighted_median,irsad_mean,irsad_min,irsad_max,irsad_std,station_count,suburb_count,suburbs
Sandringham,1128.7,1119.5,1093.7,1145.3,15.5,11,8,"['Brighton', 'Elsternwick', 'Gardenvale', 'Hampton', 'Prahran', 'Sandringham', 'St Kilda East', 'Windsor']"
Alamein,1128.1,1118.0,1060.1,1139.7,26.0,12,7,"['Ashburton', 'Burnley', 'Burwood', 'Camberwell', 'Hawthorn', 'Hawthorn East', 'Richmond']"
Williamstown,1107.3,1093.6,1029.9,1109.2,26.6,9,7,"['Footscray', 'Kensington', 'Newport', 'Seddon', 'Spotswood', 'Williamstown', 'Yarraville']"
Hurstbridge,1095.7,1093.1,1026.6,1156.2,36.0,23,20,"['Abbotsford', 'Alphington', 'Clifton Hill', 'Collingwood', 'Diamond Creek', 'Eaglemont', 'East Melbourne', 'Eltham', 'Fairfield', 'Greensborough', 'Heidelberg', 'Hurstbridge', 'Ivanhoe', 'Macleod', 'Montmorency', 'Northcote', 'Richmond', 'Rosanna', 'Watsonia', 'Wattle Glen']"
Glen Waverley,1091.5,1106.2,1059.1,1149.8,33.5,14,9,"['Ashwood', 'Burnley', 'Chadstone', 'Glen Iris', 'Glen Waverley', 'Malvern East', 'Mount Waverley', 'Richmond', 'Toorak']"
Belgrave,1074.6,1070.9,986.4,1146.2,52.2,25,20,"['Bayswater', 'Belgrave', 'Blackburn', 'Boronia', 'Box Hill', 'Burnley', 'Camberwell', 'Canterbury', 'Ferntree Gully', 'Hawthorn', 'Hawthorn East', 'Heathmont', 'Mitcham', 'Nunawading', 'Richmond', 'Ringwood', 'Surrey Hills', 'Tecoma', 'Upper Ferntree Gully', 'Upwey']"
Lilydale,1074.6,1078.2,1006.2,1146.2,53.4,21,16,"['Blackburn', 'Box Hill', 'Burnley', 'Camberwell', 'Canterbury', 'Croydon', 'Hawthorn', 'Hawthorn East', 'Lilydale', 'Mitcham', 'Mooroolbark', 'Nunawading', 'Richmond', 'Ringwood', 'Ringwood East', 'Surrey Hills']"
Frankston,1072.3,1075.9,953.4,1149.8,48.0,25,22,"['Armadale', 'Aspendale', 'Bentleigh', 'Bonbeach', 'Carrum', 'Caulfield', 'Chelsea', 'Cheltenham', 'Edithvale', 'Frankston', 'Glen Huntly', 'Highett', 'Malvern', 'McKinnon', 'Mentone', 'Moorabbin', 'Mordialloc', 'Ormond', 'Parkdale', 'Seaford', 'South Yarra', 'Toorak']"
Upfield,1064.6,1017.4,845.4,1105.7,82.7,13,8,"['Brunswick', 'Campbellfield', 'Coburg', 'Coburg North', 'Fawkner', 'Flemington', 'North Melbourne', 'Parkville']"
Sunbury,1024.4,1005.2,865.5,1101.7,68.4,16,11,"['Diggers Rest', 'Footscray', 'Melbourne', 'North Melbourne', 'Parkville', 'St Albans', 'Sunbury', 'Sunshine', 'Sunshine North', 'Taylors Lakes', 'West Footscray']"
Mernda,1014.6,1048.6,900.1,1156.2,80.2,24,15,"['Abbotsford', 'Clifton Hill', 'Collingwood', 'East Melbourne', 'Epping', 'Fitzroy North', 'Lalor', 'Mernda', 'Northcote', 'Preston', 'Reservoir', 'Richmond', 'South Morang', 'Thomastown', 'Thornbury']"
Pakenham,1013.2,1015.8,870.4,1145.4,75.6,24,20,"['Beaconsfield', 'Berwick', 'Carnegie', 'Caulfield', 'Clayton', 'Clayton South', 'Dandenong', 'Hallam', 'Hughesdale', 'Huntingdale', 'Malvern', 'Melbourne', 'Murrumbeena', 'Narre Warren', 'Noble Park', 'Oakleigh', 'Officer', 'Pakenham', 'Seaford', 'Springvale']"
Cranbourne,979.0,1013.0,870.4,1145.4,81.3,19,17,"['Carnegie', 'Caulfield', 'Clayton', 'Clayton South', 'Cranbourne', 'Cranbourne North', 'Dandenong', 'Hughesdale', 'Huntingdale', 'Lynbrook', 'Malvern', 'Melbourne', 'Murrumbeena', 'Noble Park', 'Oakleigh', 'Seaford', 'Springvale']"
Craigieburn,977.4,1006.1,821.6,1149.8,101.2,15,15,"['Ascot Vale', 'Broadmeadows', 'Coolaroo', 'Craigieburn', 'Essendon', 'Flemington', 'Glenroy', 'Jacana', 'Kensington', 'Moonee Ponds', 'Oak Park', 'Pascoe Vale', 'Roxburgh Park', 'Strathmore', 'Toorak']"
Stony Point,953.4,964.6,907.3,1001.3,32.5,10,7,"['Baxter', 'Bittern', 'Crib Point', 'Frankston', 'Hastings', 'Somerville', 'Tyabb']"
Werribee,951.0,1046.0,920.9,1109.2,66.6,14,12,"['Altona', 'Footscray', 'Hoppers Crossing', 'Kensington', 'Laverton', 'Newport', 'Seaholme', 'Seddon', 'Spotswood', 'Werribee', 'Williams Landing', 'Yarraville']"
